Category                                 | RTE type             | Interface                                
RTE Data Exchange                        | Rte_IStatus          | RACFCyclic_PpRGLanes_DeLanes             
BAP                                      | Rte_Result           | CtApACF_BapRequestPropFSG_LDW_HCA_FSG_Setup_Status_BAP_RequestUInt8 
RTE Data Exchange                        | Rte_IsUpdated        | CtApACF_PpDiagACFRead_DePersonalisation_for_lane_departure_warning_0x3BB2 
RTE Data Exchange                        | Rte_IWrite           | RACFCyclic_PpACF2ACFSMS_DeFCT            
RTE Data Exchange                        | Rte_IWrite           | RACFCyclic_PpFRACFout_DeTraceData        
BAP                                      | Rte_Call             | CtApACF_BapRequestPropFSG_LDW_HCA_WarningSound_Status_BAP_RequestByteSequence 
BAP                                      | Rte_Call             | CtApACF_BapPropInit_LDW_HCA_SportDriveRecognition_BAP_InitSendBufferByteSequence 
Persistency, Data read                   | Rte_IsUpdated        | CtApACF_PpPdACFRead_DeACFRW_Normal       
Diagnostic, Set DTC Event                | Rte_Call             | CtApACF_PpEventHandling_SetEventStatus   
BAP                                      | Rte_Call             | CtApACF_BapRequestPropFSG_MKE_FSG_OperationState_Status_BAP_RequestUInt8 
RTE Data Exchange                        | Rte_IWrite           | RACFCyclic_PpFoDReadyToRun_ACF_DeFoDReadyToRun_EA 
Network, PDU group interface             | Rte_IWrite           | RACFCyclic_PpFRACFout_DePduGrp_HCA_01    
RTE Data Exchange                        | Rte_IWrite           | RACFCyclic_PpFRACFout_DeFRACFout         
RTE Data Exchange                        | Rte_IRead            | RACFCyclic_PpFRUSout_DeUS2               
RTE Data Exchange                        | Rte_IStatus          | RACFCyclic_PpEyeQCom2ACF_DeEyeQCom2ACF   
BAP                                      | Rte_Result           | CtApACF_BapRequestPropFSG_LDW_HCA_SportDriveRecognition_Status_BAP_RequestByteSequence 
BAP                                      | Rte_Result           | CtApACF_BapPropInit_MKE_FSG_Control_BAP_InitSendBufferUInt8 
RTE Data Exchange                        | Rte_IsUpdated        | CtApACF_PpDiagACFRead_DeLane_departure_warning_steering_wheel_vibration_strength_0x0BDD 
RTE Data Exchange                        | Rte_IWrite           | RACFCyclic_PpACF2ACFOBS_DeBP             
BAP                                      | Rte_Result           | CtApACF_BapPropInit_MKE_RestAreaRecommendation_BAP_InitSendBufferByteSequence 
BAP                                      | Rte_Call             | CtApACF_BapPropInit_LDW_HCA_FunctionList_BAP_InitSendBufferByteSequence 
BAP                                      | Rte_Call             | CtApACF_BapRequestPropFSG_LDW_HCA_FSG_OperationState_Status_BAP_RequestUInt8 
BAP                                      | Rte_Result           | CtApACF_BapPropInit_MKE_Message_BAP_InitSendBufferUInt8 
BAP                                      | Rte_Call             | CtApACF_BapRequestError_LDW_HCA_FSG_Setup_BAP_RequestError 
RTE Data Exchange                        | Rte_IsUpdated        | CtApACF_PpDiagACFRead_DeLane_departure_warning_on_state_0x0BCE 
BAP                                      | Rte_Call             | CtApACF_BapPropInit_LDW_HCA_BAP_Config_BAP_InitSendBufferByteSequence 
BAP                                      | Rte_Call             | CtApACF_BapPropInit_LDW_HCA_FSG_Setup_BAP_InitSendBufferUInt8 
BAP                                      | Rte_Write            | CtApACF_Bap_Freigabe_LDW_HCA_BapFreigabe 
BAP                                      | Rte_Call             | CtApACF_BapPropInit_LDW_HCA_FSG_OperationState_BAP_InitSendBufferUInt8 
Diagnostic, Coding                       | Rte_Read             | CtApACF_PpDiagCoding_DeCoding            
BAP                                      | Rte_Call             | CtApACF_BapRequestError_LDW_HCA_LaneDepartureWarning_BAP_RequestError 
BAP                                      | Rte_Call             | CtApACF_BapRequestError_MKE_RestAreaRecommendation_BAP_RequestError 
RTE Data Exchange                        | Rte_Receive          | CtApACF_PpDM_DeDM                        
RTE Data Exchange                        | Rte_IStatus          | RACFCyclic_PpFRUSout_DeUS2               
BAP                                      | Rte_Result           | CtApACF_BapPropInit_LDW_HCA_WarningTime_BAP_InitSendBufferByteSequence 
UDS Diagnostic, Anpassung                | Rte_Read             | CtApACF_PpDiagACFRead_DeEmergency_assist_status_after_switching_on_terminal_15_0x0BCA 
Network, PDU group interface             | Rte_IWrite           | RACFCyclic_PpFRACFout_DePduGrp_ZFAS_WZO  
BAP                                      | Rte_Result           | CtApACF_BapRequestError_LDW_HCA_Systemmode_BAP_RequestError 
BAP                                      | Rte_Result           | CtApACF_BapRequestError_MKE_Message_BAP_RequestError 
------------------------------------     | -----------------    | ------------------------------------   
#Total Interfaces: 204
